medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,tolls_amount,tip_amount,total_amount,mta_tax,fare_amount,payment_type,surcharge
89D227B655E5C82AECF13C3F540D4CF4,BA96DE419E711691B9445D6A6307C170,CMT,1,N,2013-01-01 15:11:48,2013-01-01 15:18:10,4,382,1.0,-73.978165,40.757977000000004,-73.989838,40.751171,0.0,0.0,7.0,0.5,6.5,CSH,0.0
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,1,N,2013-01-06 00:18:35,2013-01-06 00:22:54,1,259,1.5,-74.006683,40.731781,-73.994499,40.750659999999996,0.0,0.0,7.0,0.5,6.0,CSH,0.5
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,1,N,2013-01-05 18:49:41,2013-01-05 18:54:23,1,282,1.1,-74.004707,40.737770000000005,-74.009834,40.726002,0.0,0.0,7.0,0.5,5.5,CSH,1.0
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,1,N,2013-01-07 23:54:15,2013-01-07 23:58:20,2,244,0.7,-73.974602,40.759945,-73.984734,40.759388,0.0,0.0,6.0,0.5,5.0,CSH,0.5
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,1,N,2013-01-07 23:25:03,2013-01-07 23:34:24,1,560,2.1,-73.97625,40.748528,-74.002586,40.747868,0.0,0.0,10.5,0.5,9.5,CSH,0.5
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,1,N,2013-01-07 15:27:48,2013-01-07 15:38:37,1,648,1.7,-73.96674300000001,40.764252,-73.983322,40.743763,0.0,0.0,10.0,0.5,9.5,CSH,0.0
496644932DF3932605C22C7926FF0FE0,513189AD756FF14FE670D10B92FAF04C,CMT,1,N,2013-01-08 11:01:15,2013-01-08 11:08:14,1,418,0.8,-73.995804,40.743977,-74.007416,40.744343,0.0,0.0,6.5,0.5,6.0,CSH,0.0
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,2013-01-07 12:39:18,2013-01-07 13:10:56,3,1898,10.7,-73.989937,40.756775,-73.86525,40.77063,4.8,0.0,39.3,0.5,34.0,CSH,0.0
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,1,N,2013-01-07 18:15:47,2013-01-07 18:20:47,1,299,0.8,-73.98007199999999,40.743137,-73.982712,40.735336,0.0,0.0,7.0,0.5,5.5,CSH,1.0
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,1,N,2013-01-07 15:33:28,2013-01-07 15:49:26,2,957,2.5,-73.977936,40.786983,-73.952919,40.80637,0.0,0.0,13.5,0.5,13.0,CSH,0.0
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,2013-01-08 13:11:52,2013-01-08 13:19:50,1,477,1.3,-73.982452,40.773167,-73.964134,40.773815,0.0,0.0,8.0,0.5,7.5,CSH,0.0
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,2013-01-08 09:50:05,2013-01-08 10:02:54,1,768,0.7,-73.99556,40.749294,-73.988686,40.759052000000004,0.0,0.0,9.5,0.5,9.0,CSH,0.0
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,1,N,2013-01-10 12:07:08,2013-01-10 12:17:29,1,620,2.3,-73.971497,40.791321,-73.964478,40.775921000000004,0.0,0.0,10.0,0.5,9.5,CSH,0.0
237F49C3ECC11F5024B254268F054384,93C363DDF8ED9385D65FAD07CE3F5F07,CMT,1,N,2013-01-07 07:35:47,2013-01-07 07:46:00,1,612,2.3,-73.98850999999999,40.774307,-73.981094,40.755325,0.0,0.0,10.5,0.5,10.0,CSH,0.0
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,1,N,2013-01-10 15:42:29,2013-01-10 16:04:02,1,1293,3.2,-73.994911,40.723221,-73.971558,40.761612,0.0,0.0,16.0,0.5,15.5,CSH,0.0
3349F919AA8AE5DC9C50A3773EA45BD8,7CE849FEF67514F080AF80D990F7EF7F,CMT,1,N,2013-01-10 14:27:28,2013-01-10 14:45:21,1,1073,4.4,-74.010391,40.708702,-73.98784599999999,40.756104,0.0,0.0,17.0,0.5,16.5,CSH,0.0
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,2013-01-07 22:09:59,2013-01-07 22:19:50,1,591,1.7,-73.973732,40.756287,-73.998413,40.756832,0.0,0.0,10.0,0.5,9.0,CSH,0.5
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,1,N,2013-01-07 17:18:16,2013-01-07 17:20:55,1,158,0.7,-73.968925,40.767703999999995,-73.96199,40.776565999999995,0.0,0.0,6.0,0.5,4.5,CSH,1.0
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,1,N,2013-01-07 06:08:51,2013-01-07 06:13:14,1,262,1.7,-73.96212,40.769737,-73.979561,40.755390000000006,0.0,0.0,7.5,0.5,7.0,CSH,0.0
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,1,N,2013-01-07 22:25:46,2013-01-07 22:36:56,1,669,2.3,-73.989708,40.756714,-73.977615,40.787575,0.0,0.0,11.5,0.5,10.5,CSH,0.5
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,2,N,2013-01-10 23:41:51,2013-01-11 00:09:11,1,1640,17.5,-73.78331,40.648765999999995,-73.98891400000001,40.748207,4.8,0.0,57.3,0.5,52.0,CSH,0.0
B6FC8357E0D53B0F1FA897D536A20F5C,113A5BA8513934DEE97A342E3535DE96,CMT,1,N,2013-01-07 18:05:36,2013-01-07 18:23:50,4,1094,3.8,-73.956505,40.771278,-73.996368,40.732459999999996,0.0,0.0,17.0,0.5,15.5,CSH,1.0
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,2013-01-08 13:29:25,2013-01-08 13:37:52,1,507,1.2,-73.95578,40.77932,-73.967285,40.763344000000004,0.0,0.0,8.0,0.5,7.5,CSH,0.0
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,2013-01-07 21:13:02,2013-01-07 21:22:31,1,568,1.1,-73.978439,40.764679,-73.977684,40.777004,0.0,0.0,9.0,0.5,8.0,CSH,0.5
E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,1,N,2013-01-01 18:36:53,2013-01-01 18:39:04,1,131,0.5,-73.992172,40.749953999999995,-73.99675,40.744553,0.0,0.0,4.5,0.5,4.0,CSH,0.0
E6FBF80668FE0611AEA44FD9574A7E32,36773E80775F26CD1158EB5450A61C79,CMT,1,Y,2013-01-07 08:17:06,2013-01-07 08:22:46,1,340,1.5,-73.992111,40.689701,-74.00715600000001,40.679295,0.0,0.0,7.5,0.5,7.0,CSH,0.0
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,1,N,2013-01-07 22:39:03,2013-01-07 22:44:16,1,312,1.5,-73.97865300000001,40.787735,-73.96579,40.805321,0.0,0.0,8.0,0.5,7.0,CSH,0.5
A3B17384165197E18CA0A1BB61277EE9,B8396B62883EA332EFD2771A6B031D05,CMT,1,N,2013-01-07 06:26:32,2013-01-07 06:28:24,2,111,0.5,-73.965317,40.769375,-73.96713299999999,40.763699,0.0,0.0,5.0,0.5,4.0,CSH,0.5
8E189DABE265CC03FEF4BFC695B32559,906939B31C0B93768242A58A682412B8,CMT,1,N,2013-01-01 14:02:01,2013-01-01 14:27:39,2,1537,10.2,-73.862709,40.769141999999995,-73.982079,40.762295,4.8,0.0,36.3,0.5,31.0,CSH,0.0
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,1,N,2013-01-05 11:54:49,2013-01-05 12:03:48,1,539,0.8,-73.977127,40.74831,-73.990913,40.751053000000006,0.0,0.0,8.0,0.5,7.5,CSH,0.0
